关键词,文章标题,公众号,发布日期,摘要,文章链接
自动化学会,江苏省自动化学会青年工作委员会2021年学术年会在南京召开,N/A,2021-05-25 21:11:56,"2021年5月15日至16日,江苏省自动化学会青年工作委员会2021年学术年会在江苏省南京市青旅宾馆召开.国家杰出青年基金获得者...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9sQYzwmMa4pYvlwqOJDv6iKWQvVLy9kYnEUhZ38qUW1SkhJDHzAoZfBeUNyIR0dbI1djqJS7iX1v6Ss1IN_JnlM9kQrqkCuYWuvGNFwX6ElCYrFRMcXZKej4nK8KrYdTLKtFCy5qahvGlYQ7maf3-5OPwrGwtaYlG8Rac1LWN5zoY-UZGbO56rA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,江苏省自动化学会多名理事、会员获2021年度中国自动化学会奖项,N/A,2022-08-27 18:58:08,"为庆祝中国自动化学会成立六十周年,弘扬老一辈科学家精神,表彰自动化、信息与智能科学领域做出杰出贡献的优秀科技工作者,...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9sQYzwmMa4pYvlwqOJDv6iKWQvVLy9kYnEUhZ38qUW1SkhJDHzAoZfKacwOvXuA2eRvQ6BdnK1GRrzDhf31XKxDTYe0SJgKtBEiWb1m0gu9jJc2K6xZ3kTz_8AlmRDYxq9HQ97uAPYXKmcWKunF55d__xI1zJmRhqh3ygDC5yk1j0OK9DLfgmPA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,【分会新闻】深圳自动化学会荣获“2017年度市级优秀学会”奖项,N/A,2018-04-23 21:05:54,"深圳自动化学会荣获2017年度市级优秀学会奖项. (2017年度市级优秀学会牌匾)2017年是深圳自动化学会取得重大突破的一年,学会...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxY__eHH_5WCcxkFD2D9RjebGD5FpX2pRgB8RqSKwhPRTZrptXBkn72ITJV-6WlNiVrbxGtbg6Ujc0Mvhl_fLoeQ0jGjqBi3_w_kB_nq_sXSmng4cGs6gf49r1dbZWbKUeQ..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,【分会新闻】厦门市自动化学会2017学术年会召开,N/A,2017-12-28 17:56:44,"❈2017年12月24日,以“互联网+与智能调度”为题的厦门市自动化学会2017学术年会在华侨大学厦门校区王源兴国际会议中心G101...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxU_vLx4njTfNvqEDLnyJXax_5VxDuIhY74JsGP_235A9HihWVAPVJtSQv4PVPEMh9AfS1eYDXRcoBA0YBOxE7qL0dgJWHEdJeMt6XjVGJI5nvxsjvfaaEPAC2Qmj7RgGwQ..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,【CAA微周刊】中国自动化学会的一周(3月20日—3月26日),N/A,2026-03-27 20:24:28,"中国自动化学会关于NeurIPS禁止部分机构参与投稿的声明近日,NeurIPS在征稿通知中禁止受美国制裁机构名单中的部分组织参与投...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxWFjUlrYNvb4a8foMpq4droPwEjgLqhd-jbujeFy7FXX98kwnpxVgpNeX57_855h__UDrsH1Eit8Xhd_gPGEyJ-bhyV-HaCV2pFJKDCGpQJGSBa7i6Q6Bx-q3X8EKMKOIA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,江苏省自动化学会第十届会员代表大会在南京召开,N/A,2022-01-20 16:30:18,江苏省自动化学会第十届会员代表大会于2022年1月15日上午在南京东南大学榴园宾馆报告厅召开.江苏省科学技术协会党组成员、副...,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9sQYzwmMa4pYvlwqOJDv6iKWQvVLy9kYnEUhZ38qUW1SkhJDHzAoZfHqHQ2JiMsCWmIC50Lwa0LUvLPPFvexw21Ynl4h7oOCkud1RtSOMydQ1QGSG-cAX5Esyepb0eU-Fc9epUe4boXLSBBgq5AbC6_09U46MoATCRPAcw_cBBSFAe0f8bRARvQ..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,江苏省自动化学会控制理论及应用专委会第六届高端论坛顺利举行,N/A,2022-12-29 21:36:31,"12月11日,由江苏省自动化学会控制理论及应用专业委员会主办,南京理工大学数学与统计学院、“复杂系统的数学理论分析与建模”...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9sQYzwmMa4pYvlwqOJDv6iKWQvVLy9kYnEUhZ38qUW1SkhJDHzAoZfOR0MDSsA1xwiA-sIWlPRSpPzO9a2SMVt71R39JQfGj7AezVkU1FF4CST7eqYuwXCTqelLtsIdUuovVMNc2prwEzQEcQP-vOtiSdPElzuYWExyz-WTqs6jcSYTqT4eyLmA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,江苏省自动化学会青年工作委员会2023年学术年会在南京召开,N/A,2023-06-30 16:04:50,"6月10日,江苏省自动化学会青年工作委员会2023年学术年会在南京市召开.本次会议邀请了加拿大工程学院院士、加拿大达尔豪斯大...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9sQYzwmMa4pYvlwqOJDv6iKWQvVLy9kYnEUhZ38qUW1SkhJDHzAoZfCTk8Ecr8op9xh-9PbBaSIcC489qoWb_zrYCfQyTWrqbqQzwabefgQVKJZaPO5U_Alyq8rel4NWLa83cdaJJyJJUQpfipViZZz9l3j4OzwwAYdtlE5TV6j3zAjcIGepUqA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,【分会新闻】深圳自动化学会“2017年度会员大会”圆满闭幕,N/A,2017-12-28 17:56:44,"❈2017年12月22日下午,深圳自动化学会“2017年度会员大会”于深圳科学馆一楼多功能厅圆满闭幕,来自会员企业代表及学会专家...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxeqvTFP-5DLrD9gMXfYMcu1MJLg2pyeXcBokQ4M-LnESgbfTD7KYklKUnixJTkmjeP1Vx36OXpbILuPA2r9Oo1gDcywPoetjmBBZehbTPC2NsIT6ajUgOsfP28temKTOwg..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
自动化学会,【专家观点】中国自动化学会监事长王飞跃:中国学术界的这次集体发声意义深远,N/A,2026-03-30 21:22:15,"CAA智慧起航,共创未来3月30日,中国自动化学会监事长、中国科学院自动化研究所研究员王飞跃在《环球时报》发表署名文章《中...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqXSpk5mryl67ut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxcw6CjalQsOZ3QJ8mwYLzycctEn7NmqMrq8frCdhcRzNSwti3_z2s_tzT65v4ikwvp7lXUiRD1lmClbuMIOSj-51-7zbXWWYR_ybWFf3_44sxlRD3UHH4-LyPfCoem7FzA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AFC05FBED069255F5810A24995CF675FFE48EB69D6F291
自动化学会,【202603期】深圳自动化学会3月份工作简报,N/A,2026-04-03 17:24:04,"-深圳自动化学会-2026年3月份工作简报学会资讯01三月春风暖,巾帼绽芳华.在2026年“三八”国际妇女节到来之际,深圳自动化学...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqXSpk5mryl67ut9T0q3oY-lqXa8Fplpd96RCl-0gqY8ILlUvzxU3iV0HaZB6R354zOBikMZk0ulTkZbkLsrS2OWPHm9JHTWkQWdbblq2kGeOkz3jhYyfBmiNNQtMR-bgL4vWgRJVICBgqvzrNQ8_J4Qbvmh4nQhjK8csA8MfWswXAem60DdVOuuwl3YWW5XiftMzyE0YBzurf3q8uRDTfkw..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AFC05FBED069255F5810A24995CF675FFE48EB69D6F291
自动化学会,【学院新闻】厦门市自动化学会2017学术年会,N/A,2017-12-28 19:39:52,"大会合影2017年12月24日,以“互联网+与智能调度”为题的厦门市自动化学会2017学术年会在华侨大学厦门校区王源兴国际会议中...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqXSpk5mryl67ut9T0q3oY-lqXa8Fplpd9KGGD11gtazZt_px4j73hO80KTEYtBQbwRurXYynzDb0sj-aa6oA89K6EieeKPLgnb0dkLkyIFXIUa9J1PkDLrGKFGWLfZ2wyQuwrI1S9Fbujdrl2holA7pBNpHKn5Nb9GiwoMeQXo31gSKHsZMUbx8K2V0UMcLe04dCqC0KFAqZf_71bqkOtiw..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AFC05FBED069255F5810A24995CF675FFE48EB69D6F291
自动化学会,自动化学院3位研究生荣获“北京自动化学会优秀研究生”称号!,N/A,2024-02-07 21:02:40,"自动化学院研究生梁子斌、张腾龙、赵文江三名同学,荣获2023年北京自动化学会“优秀研究生”称号.‍‍‍‍‍‍‍‍‍‍‍‍‍...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqXSpk5mryl67ut9T0q3oY-lqXa8Fplpd9wO_UxiXZf5cBzl06cKvYa95YsnXTNK1Fh6KysQQTVT00wNPjgprCWmwKKVwMbbypga0ac-xOZ8F2_eSj4Tc-1YxWkAwvhPgr82vF2N8F6vj52Mrx-sLCxATkXSI6FUo4ntHRQCudvm7TZe3U1B9yN1o53fLiU_mwCP2UYTn3RioSYTqT4eyLmA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AFC05FBED069255F5810A24995CF675FFE48EB69D6F291
自动化学会,省自动化学会智能包装产业温州学会企业联合体正式成立!专家团助力温州产业发展,N/A,2022-07-06 21:19:58,"浙江省自动化学会副理事长陈坚、秘书长谢磊,浙江日高智能机械股份有限公司董事长吴朝武、温州市包装联合会秘书长林淑玲以及温...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqXSpk5mryl67ut9T0q3oY-lqXa8Fplpd9LMbOWvKsXDfUXpPdE7VXANxtMY4Xv5ONDWm7mtc7WAPpEoQxgArQBcOOToxNRUjueQSepC67R0RkpajrnZUnl5o0pp34g_Czg3_Eac_tZxBk24eIei4OrfBAYrnOD2s-Z6VjQH7kRSM79j3OxGPqxCvUjiu2E1ugp8oJRshN3UTzAjcIGepUqA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AFC05FBED069255F5810A24995CF675FFE48EB69D6F291
自动化学会,​【活动计划】中国自动化学会2022年度重点活动计划一览,N/A,2022-02-02 09:00:33,"CAA智慧起航,共创未来中国自动化学会2022年度重点活动计划一览活跃学术交流,助力学科发展.2022年,中国自动化学会将举办...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqXSpk5mryl67ut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxdwuRPncoaGGyU65jwohJgxvlXhTqqNF_GJq0nS-uqcJSqu50rlBlnQYtdZg3dAhPsF4OFIO7gEH3qiiUsYGifOH8sYKlIDW3_EvbUBJYGBfJMYzQ2g2sdgYJSSFPgfogQ..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AFC05FBED069255F5810A24995CF675FFE48EB69D6F291
自动化学会,上海市自动化学会协办 IEEE工业技术大会   诚邀大家在线参与,N/A,2022-08-17 14:41:50,"// IEEE ICIT工业技术大会是IEEE工业电子学会的旗舰会议之一,大会致力于在智能和计算机控制系统、机器人、工厂通信与自动化、柔...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqXSpk5mryl67ut9T0q3oY-lqXa8Fplpd9NiNYptEPlYTCVW8xRNbGD2ZY3Yh3F_Kmd5SpNe1xkqht-jXUdPMBQ_dsG5WQE_fsTh53QB0DvrO1BPpaZ4ZxGeUvw43G0xmcVKW5edldNTxE10HRcLWk7HciGyR1SO3no2mSwmH830NGdPYkbz9Z5RAjHxB61UUKy5ZMxqylJ0h6VKrzu_4XKA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AFC05FBED069255F5810A24995CF675FFE48EB69D6F291
自动化学会,CAA | 深圳自动化学会“第十七届华南自动化高峰论坛”圆满闭幕,N/A,2017-09-25 00:00:48,"深圳自动化学会乘着科技创新的浪潮,搭建高水平的学术研讨以及行业前沿技术最新成果展示等合作交流平台,于2017年9月19日下午...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqXSpk5mryl67ut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxZvyUPLbVA5RyR0a9YMul6_7su8c0OBGR6rHUoh8MtWrf2JDqym-9tsQo0KpxURkWMTvI11PwjHVI6t0exIvGY038GvDWZQGJhMdpE6H9XPlPmkkrA81epr2CsG6-xMgzQ..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AFC05FBED069255F5810A24995CF675FFE48EB69D6F291
